Planning Area,Subzone,Age Group,Floor Area,2024
Total,Total,Total,Total*,4180870
Total,Total,Total,≤ 60,282880
Total,Total,Total,> 60 - 80,526580
Total,Total,Total,> 80 - 100,1058190
Total,Total,Total,> 100 - 120,1130520
Total,Total,Total,> 120,1140820
Total,Total,0 - 4,Total*,170500
Total,Total,0 - 4,≤ 60,10530
Total,Total,0 - 4,> 60 - 80,16060
Total,Total,0 - 4,> 80 - 100,58830
Total,Total,0 - 4,> 100 - 120,47290
Total,Total,0 - 4,> 120,37130
Total,Total,5 - 9,Total*,202080
Total,Total,5 - 9,≤ 60,9970
Total,Total,5 - 9,> 60 - 80,17700
Total,Total,5 - 9,> 80 - 100,61310
Total,Total,5 - 9,> 100 - 120,58380
Total,Total,5 - 9,> 120,53700
Total,Total,10 - 14,Total*,204390
Total,Total,10 - 14,≤ 60,9090
Total,Total,10 - 14,> 60 - 80,17860
Total,Total,10 - 14,> 80 - 100,53420
Total,Total,10 - 14,> 100 - 120,61290
Total,Total,10 - 14,> 120,61690
Total,Total,15 - 19,Total*,211070
Total,Total,15 - 19,≤ 60,10500
Total,Total,15 - 19,> 60 - 80,19630
Total,Total,15 - 19,> 80 - 100,47500
Total,Total,15 - 19,> 100 - 120,64380
Total,Total,15 - 19,> 120,68020
Total,Total,20 - 24,Total*,224640
Total,Total,20 - 24,≤ 60,12310
Total,Total,20 - 24,> 60 - 80,22000
Total,Total,20 - 24,> 80 - 100,47280
Total,Total,20 - 24,> 100 - 120,66200
Total,Total,20 - 24,> 120,75410
Total,Total,25 - 29,Total*,269540
Total,Total,25 - 29,≤ 60,15670
Total,Total,25 - 29,> 60 - 80,29370
Total,Total,25 - 29,> 80 - 100,63080
Total,Total,25 - 29,> 100 - 120,75800
Total,Total,25 - 29,> 120,84250
Total,Total,30 - 34,Total*,320490
Total,Total,30 - 34,≤ 60,18650
Total,Total,30 - 34,> 60 - 80,39770
Total,Total,30 - 34,> 80 - 100,100120
Total,Total,30 - 34,> 100 - 120,84860
Total,Total,30 - 34,> 120,75210
Total,Total,35 - 39,Total*,314580
Total,Total,35 - 39,≤ 60,17250
Total,Total,35 - 39,> 60 - 80,40430
Total,Total,35 - 39,> 80 - 100,103370
Total,Total,35 - 39,> 100 - 120,84020
Total,Total,35 - 39,> 120,67500
Total,Total,40 - 44,Total*,310260
Total,Total,40 - 44,≤ 60,17980
Total,Total,40 - 44,> 60 - 80,39640
Total,Total,40 - 44,> 80 - 100,93670
Total,Total,40 - 44,> 100 - 120,86060
Total,Total,40 - 44,> 120,70800
Total,Total,45 - 49,Total*,301220
Total,Total,45 - 49,≤ 60,18310
Total,Total,45 - 49,> 60 - 80,38220
Total,Total,45 - 49,> 80 - 100,79610
Total,Total,45 - 49,> 100 - 120,86450
Total,Total,45 - 49,> 120,76450
Total,Total,50 - 54,Total*,307330
Total,Total,50 - 54,≤ 60,19420
Total,Total,50 - 54,> 60 - 80,40510
Total,Total,50 - 54,> 80 - 100,71100
Total,Total,50 - 54,> 100 - 120,86840
Total,Total,50 - 54,> 120,87170
Total,Total,55 - 59,Total*,294230
Total,Total,55 - 59,≤ 60,21240
Total,Total,55 - 59,> 60 - 80,40600
Total,Total,55 - 59,> 80 - 100,62930
Total,Total,55 - 59,> 100 - 120,80520
Total,Total,55 - 59,> 120,86510
Total,Total,60 - 64,Total*,296640
Total,Total,60 - 64,≤ 60,24530
Total,Total,60 - 64,> 60 - 80,42560
Total,Total,60 - 64,> 80 - 100,61060
Total,Total,60 - 64,> 100 - 120,77440
Total,Total,60 - 64,> 120,88120
Total,Total,65 - 69,Total*,266170
Total,Total,65 - 69,≤ 60,25360
Total,Total,65 - 69,> 60 - 80,39820
Total,Total,65 - 69,> 80 - 100,54750
Total,Total,65 - 69,> 100 - 120,65770
Total,Total,65 - 69,> 120,77120
Total,Total,70 - 74,Total*,206520
Total,Total,70 - 74,≤ 60,21800
Total,Total,70 - 74,> 60 - 80,33130
Total,Total,70 - 74,> 80 - 100,43080
Total,Total,70 - 74,> 100 - 120,47810
Total,Total,70 - 74,> 120,57180
Total,Total,75 - 79,Total*,134610
Total,Total,75 - 79,≤ 60,14610
Total,Total,75 - 79,> 60 - 80,23330
Total,Total,75 - 79,> 80 - 100,27820
Total,Total,75 - 79,> 100 - 120,29040
Total,Total,75 - 79,> 120,36410
Total,Total,80 - 84,Total*,77540
Total,Total,80 - 84,≤ 60,8410
Total,Total,80 - 84,> 60 - 80,14100
Total,Total,80 - 84,> 80 - 100,15940
Total,Total,80 - 84,> 100 - 120,15770
Total,Total,80 - 84,> 120,20030
Total,Total,85 - 89,Total*,43910
Total,Total,85 - 89,≤ 60,4710
Total,Total,85 - 89,> 60 - 80,7980
Total,Total,85 - 89,> 80 - 100,8650
Total,Total,85 - 89,> 100 - 120,8240
Total,Total,85 - 89,> 120,11440
Total,Total,90 & Over,Total*,25160
Total,Total,90 & Over,≤ 60,2540
Total,Total,90 & Over,> 60 - 80,3870
Total,Total,90 & Over,> 80 - 100,4660
Total,Total,90 & Over,> 100 - 120,4370
Total,Total,90 & Over,> 120,6670
Ang Mo Kio,Total,Total,Total*,159340
Ang Mo Kio,Total,Total,≤ 60,11940
Ang Mo Kio,Total,Total,> 60 - 80,44560
Ang Mo Kio,Total,Total,> 80 - 100,50770
Ang Mo Kio,Total,Total,> 100 - 120,20490
Ang Mo Kio,Total,Total,> 120,29980
Ang Mo Kio,Total,0 - 4,Total*,4430
Ang Mo Kio,Total,0 - 4,≤ 60,590
Ang Mo Kio,Total,0 - 4,> 60 - 80,890
Ang Mo Kio,Total,0 - 4,> 80 - 100,1430
Ang Mo Kio,Total,0 - 4,> 100 - 120,700
Ang Mo Kio,Total,0 - 4,> 120,810
Ang Mo Kio,Total,5 - 9,Total*,5880
Ang Mo Kio,Total,5 - 9,≤ 60,540
Ang Mo Kio,Total,5 - 9,> 60 - 80,1100
Ang Mo Kio,Total,5 - 9,> 80 - 100,1780
Ang Mo Kio,Total,5 - 9,> 100 - 120,1100
Ang Mo Kio,Total,5 - 9,> 120,1340
Ang Mo Kio,Total,10 - 14,Total*,6430
Ang Mo Kio,Total,10 - 14,≤ 60,490
Ang Mo Kio,Total,10 - 14,> 60 - 80,1320
Ang Mo Kio,Total,10 - 14,> 80 - 100,1790
Ang Mo Kio,Total,10 - 14,> 100 - 120,1290
Ang Mo Kio,Total,10 - 14,> 120,1530
Ang Mo Kio,Total,15 - 19,Total*,7340
Ang Mo Kio,Total,15 - 19,≤ 60,590
Ang Mo Kio,Total,15 - 19,> 60 - 80,1630
Ang Mo Kio,Total,15 - 19,> 80 - 100,2000
Ang Mo Kio,Total,15 - 19,> 100 - 120,1250
Ang Mo Kio,Total,15 - 19,> 120,1860
Ang Mo Kio,Total,20 - 24,Total*,7850
Ang Mo Kio,Total,20 - 24,≤ 60,690
Ang Mo Kio,Total,20 - 24,> 60 - 80,1910
Ang Mo Kio,Total,20 - 24,> 80 - 100,2170
Ang Mo Kio,Total,20 - 24,> 100 - 120,1140
Ang Mo Kio,Total,20 - 24,> 120,1920
Ang Mo Kio,Total,25 - 29,Total*,9230
Ang Mo Kio,Total,25 - 29,≤ 60,730
Ang Mo Kio,Total,25 - 29,> 60 - 80,2310
Ang Mo Kio,Total,25 - 29,> 80 - 100,2900
Ang Mo Kio,Total,25 - 29,> 100 - 120,1170
Ang Mo Kio,Total,25 - 29,> 120,2080
Ang Mo Kio,Total,30 - 34,Total*,10270
Ang Mo Kio,Total,30 - 34,≤ 60,700
Ang Mo Kio,Total,30 - 34,> 60 - 80,2730
Ang Mo Kio,Total,30 - 34,> 80 - 100,3560
Ang Mo Kio,Total,30 - 34,> 100 - 120,1290
Ang Mo Kio,Total,30 - 34,> 120,1930
Ang Mo Kio,Total,35 - 39,Total*,9610
Ang Mo Kio,Total,35 - 39,≤ 60,560
Ang Mo Kio,Total,35 - 39,> 60 - 80,2690
Ang Mo Kio,Total,35 - 39,> 80 - 100,3510
Ang Mo Kio,Total,35 - 39,> 100 - 120,1310
Ang Mo Kio,Total,35 - 39,> 120,1470
Ang Mo Kio,Total,40 - 44,Total*,10710
Ang Mo Kio,Total,40 - 44,≤ 60,480
Ang Mo Kio,Total,40 - 44,> 60 - 80,3130
Ang Mo Kio,Total,40 - 44,> 80 - 100,3660
Ang Mo Kio,Total,40 - 44,> 100 - 120,1610
Ang Mo Kio,Total,40 - 44,> 120,1760
Ang Mo Kio,Total,45 - 49,Total*,11210
Ang Mo Kio,Total,45 - 49,≤ 60,510
Ang Mo Kio,Total,45 - 49,> 60 - 80,3320
Ang Mo Kio,Total,45 - 49,> 80 - 100,3630
Ang Mo Kio,Total,45 - 49,> 100 - 120,1780
Ang Mo Kio,Total,45 - 49,> 120,1940
Ang Mo Kio,Total,50 - 54,Total*,12090
Ang Mo Kio,Total,50 - 54,≤ 60,650
Ang Mo Kio,Total,50 - 54,> 60 - 80,3580
Ang Mo Kio,Total,50 - 54,> 80 - 100,3750
Ang Mo Kio,Total,50 - 54,> 100 - 120,1680
Ang Mo Kio,Total,50 - 54,> 120,2360
Ang Mo Kio,Total,55 - 59,Total*,11660
Ang Mo Kio,Total,55 - 59,≤ 60,910
Ang Mo Kio,Total,55 - 59,> 60 - 80,3640
Ang Mo Kio,Total,55 - 59,> 80 - 100,3590
Ang Mo Kio,Total,55 - 59,> 100 - 120,1310
Ang Mo Kio,Total,55 - 59,> 120,2120
Ang Mo Kio,Total,60 - 64,Total*,12340
Ang Mo Kio,Total,60 - 64,≤ 60,1010
