Planning Area,Subzone,Age Group,Type of Dwelling,2024
Total,Total,Total,Total,4180870
Total,Total,Total,Total HDB^,3188460
Total,Total,Total,1- and 2-Room Flats*,195730
Total,Total,Total,3-Room Flats,555970
Total,Total,Total,4-Room Flats,1358400
Total,Total,Total,5-Room and Executive Flats,1078360
Total,Total,Total,Condominiums and Other Apartments,706520
Total,Total,Total,Landed Properties,248440
Total,Total,Total,Others,37460
Total,Total,0 - 4,Total,170500
Total,Total,0 - 4,Total HDB^,131780
Total,Total,0 - 4,1- and 2-Room Flats*,8280
Total,Total,0 - 4,3-Room Flats,14890
Total,Total,0 - 4,4-Room Flats,63270
Total,Total,0 - 4,5-Room and Executive Flats,45340
Total,Total,0 - 4,Condominiums and Other Apartments,30780
Total,Total,0 - 4,Landed Properties,7450
Total,Total,0 - 4,Others,500
Total,Total,5 - 9,Total,202080
Total,Total,5 - 9,Total HDB^,143100
Total,Total,5 - 9,1- and 2-Room Flats*,7770
Total,Total,5 - 9,3-Room Flats,16440
Total,Total,5 - 9,4-Room Flats,64740
Total,Total,5 - 9,5-Room and Executive Flats,54150
Total,Total,5 - 9,Condominiums and Other Apartments,47400
Total,Total,5 - 9,Landed Properties,10820
Total,Total,5 - 9,Others,760
Total,Total,10 - 14,Total,204390
Total,Total,10 - 14,Total HDB^,141940
Total,Total,10 - 14,1- and 2-Room Flats*,7010
Total,Total,10 - 14,3-Room Flats,17660
Total,Total,10 - 14,4-Room Flats,60520
Total,Total,10 - 14,5-Room and Executive Flats,56750
Total,Total,10 - 14,Condominiums and Other Apartments,48380
Total,Total,10 - 14,Landed Properties,13290
Total,Total,10 - 14,Others,790
Total,Total,15 - 19,Total,211070
Total,Total,15 - 19,Total HDB^,151560
Total,Total,15 - 19,1- and 2-Room Flats*,8030
Total,Total,15 - 19,3-Room Flats,20930
Total,Total,15 - 19,4-Room Flats,60940
Total,Total,15 - 19,5-Room and Executive Flats,61670
Total,Total,15 - 19,Condominiums and Other Apartments,43760
Total,Total,15 - 19,Landed Properties,14900
Total,Total,15 - 19,Others,840
Total,Total,20 - 24,Total,224640
Total,Total,20 - 24,Total HDB^,170470
Total,Total,20 - 24,1- and 2-Room Flats*,9320
Total,Total,20 - 24,3-Room Flats,24160
Total,Total,20 - 24,4-Room Flats,68480
Total,Total,20 - 24,5-Room and Executive Flats,68510
Total,Total,20 - 24,Condominiums and Other Apartments,37450
Total,Total,20 - 24,Landed Properties,15450
Total,Total,20 - 24,Others,1280
Total,Total,25 - 29,Total,269540
Total,Total,25 - 29,Total HDB^,215530
Total,Total,25 - 29,1- and 2-Room Flats*,10200
Total,Total,25 - 29,3-Room Flats,31280
Total,Total,25 - 29,4-Room Flats,95250
Total,Total,25 - 29,5-Room and Executive Flats,78810
Total,Total,25 - 29,Condominiums and Other Apartments,36460
Total,Total,25 - 29,Landed Properties,16420
Total,Total,25 - 29,Others,1120
Total,Total,30 - 34,Total,320490
Total,Total,30 - 34,Total HDB^,257980
Total,Total,30 - 34,1- and 2-Room Flats*,9310
Total,Total,30 - 34,3-Room Flats,37800
Total,Total,30 - 34,4-Room Flats,126640
