Planning Area,Subzone,Total Population
Ang Mo Kio,Ang Mo Kio Town Centre,4850
Ang Mo Kio,Cheng San,26970
Ang Mo Kio,Chong Boon,25190
Ang Mo Kio,Kebun Bahru,21980
Ang Mo Kio,Sembawang Hills,6950
Ang Mo Kio,Shangri-La,17460
Ang Mo Kio,Tagore,7980
Ang Mo Kio,Total,159340
Ang Mo Kio,Townsville,20010
Ang Mo Kio,Yio Chu Kang,10
Ang Mo Kio,Yio Chu Kang East,4380
Ang Mo Kio,Yio Chu Kang North,-
Ang Mo Kio,Yio Chu Kang West,23570
Bedok,Bayshore,8000
Bedok,Bedok North,81550
Bedok,Bedok Reservoir,25190
Bedok,Bedok South,48360
Bedok,Frankel,35030
Bedok,Kaki Bukit,35440
Bedok,Kembangan,35890
Bedok,Siglap,7390
Bedok,Total,276840
Bishan,Bishan East,27460
Bishan,Marymount,28800
Bishan,Total,87930
Bishan,Upper Thomson,31670
Boon Lay,Liu Fang,10
Boon Lay,Samulun,-
Boon Lay,Shipyard,-
Boon Lay,Total,20
Boon Lay,Tukang,10
Bukit Batok,Brickworks,31090
Bukit Batok,Bukit Batok Central,27320
Bukit Batok,Bukit Batok East,12070
Bukit Batok,Bukit Batok South,14520
Bukit Batok,Bukit Batok West,14350
Bukit Batok,Gombak,9770
Bukit Batok,Guilin,12830
Bukit Batok,Hillview,20660
Bukit Batok,Hong Kah North,25140
Bukit Batok,Total,167750
Bukit Merah,Alexandra Hill,12880
Bukit Merah,Alexandra North,2880
Bukit Merah,Bukit Ho Swee,13430
Bukit Merah,Bukit Merah,1000
Bukit Merah,City Terminals,20
Bukit Merah,Depot Road,6530
Bukit Merah,Everton Park,7510
Bukit Merah,Henderson Hill,12770
Bukit Merah,Kampong Tiong Bahru,9800
Bukit Merah,Maritime Square,4820
Bukit Merah,Redhill,10980
Bukit Merah,Singapore General Hospital,-
Bukit Merah,Telok Blangah Drive,19100
Bukit Merah,Telok Blangah Rise,11530
Bukit Merah,Telok Blangah Way,8330
Bukit Merah,Tiong Bahru,12130
Bukit Merah,Tiong Bahru Station,14570
Bukit Merah,Total,148270
Bukit Panjang,Bangkit,21010
Bukit Panjang,Dairy Farm,7860
Bukit Panjang,Fajar,26420
Bukit Panjang,Jelebu,29960
Bukit Panjang,Nature Reserve,3980
Bukit Panjang,Saujana,25000
Bukit Panjang,Senja,23830
Bukit Panjang,Total,138050
Bukit Timah,Anak Bukit,22960
Bukit Timah,Coronation Road,7480
Bukit Timah,Farrer Court,7330
Bukit Timah,Hillcrest,9870
Bukit Timah,Holland Road,11640
Bukit Timah,Leedon Park,6900
Bukit Timah,Swiss Club,6110
Bukit Timah,Total,83570
Bukit Timah,Ulu Pandan,11290
Central Water Catchment,Central Water Catchment,-
Central Water Catchment,Total,-
Changi,Changi Airport,-
Changi,Changi Point,560
Changi,Changi West,1390
Changi,Total,1950
Changi Bay,Changi Bay,-
Changi Bay,Total,-
Choa Chu Kang,Choa Chu Kang Central,21980
Choa Chu Kang,Choa Chu Kang North,30790
Choa Chu Kang,Keat Hong,39370
Choa Chu Kang,Peng Siang,33860
Choa Chu Kang,Teck Whye,24560
Choa Chu Kang,Total,190180
Choa Chu Kang,Yew Tee,39620
Clementi,Clementi Central,14510
Clementi,Clementi North,30800
Clementi,Clementi West,14540
Clementi,Clementi Woods,18860
Clementi,Faber,8060
Clementi,Pandan,20
Clementi,Sunset Way,5470
Clementi,Toh Tuck,20
Clementi,Total,102390
Clementi,West Coast,10120
Downtown Core,Anson,80
Downtown Core,Bayfront Subzone,-
Downtown Core,Bugis,1150
Downtown Core,Cecil,540
Downtown Core,Central Subzone,1420
Downtown Core,City Hall,140
Downtown Core,Clifford Pier,-
Downtown Core,Marina Centre,20
Downtown Core,Maxwell,-
Downtown Core,Nicoll,310
Downtown Core,Phillip,10
Downtown Core,Raffles Place,40
Downtown Core,Tanjong Pagar,940
Downtown Core,Total,4660
Geylang,Aljunied,43210
Geylang,Geylang East,32820
Geylang,Kallang Way,40
Geylang,Kampong Ubi,13690
Geylang,Macpherson,26850
Geylang,Total,116610
Hougang,Defu Industrial Park,10
Hougang,Hougang Central,4720
Hougang,Hougang East,23800
Hougang,Hougang West,43700
Hougang,Kangkar,35000
Hougang,Kovan,27280
Hougang,Lorong Ah Soo,31590
Hougang,Lorong Halus,-
Hougang,Tai Seng,12950
Hougang,Total,228140
Hougang,Trafalgar,49090
Jurong East,International Business Park,10
Jurong East,Jurong Gateway,580
Jurong East,Jurong Port,-
Jurong East,Jurong River,-
Jurong East,Lakeside (Business),-
Jurong East,Lakeside (Leisure),550
Jurong East,Penjuru Crescent,10
Jurong East,Teban Gardens,17480
Jurong East,Toh Guan,13830
Jurong East,Total,74530
Jurong East,Yuhua East,23530
Jurong East,Yuhua West,18550
Jurong West,Boon Lay Place,29510
Jurong West,Chin Bee,-
Jurong West,Hong Kah,52260
